date,AUD_CLOSE,DKK_CLOSE,EUR_CLOSE,HKD_CLOSE,JPY_CLOSE,MXN_CLOSE,NZD_CLOSE,NOK_CLOSE,SEK_CLOSE,CHF_CLOSE,GBP_CLOSE,USD_CLOSE
2010-01-28,0.9541,0.2001,1.4896,0.137266,0.01186,0.08163,0.7516,0.1811,0.1452,1.0134,1.7198,1.0662
2010-01-29,0.946,0.1991,1.4824,0.137725,0.01184,0.08175,0.7502,0.1805,0.1447,1.0082,1.7091,1.0693
2010-01-30,0.946,0.1991,1.4824,0.137725,0.01184,0.08175,0.7502,0.1805,0.1447,1.0082,1.7091,1.0693
2010-01-31,0.946,0.1991,1.4824,0.137725,0.01184,0.08175,0.7502,0.1805,0.1447,1.0082,1.7091,1.0693
2010-02-01,0.947,0.1988,1.4801,0.136789,0.01172,0.0825,0.7533,0.181,0.1463,1.0061,1.6957,1.0624
2010-02-02,0.9384,0.1985,1.4776,0.136242,0.01171,0.08222,0.7536,0.1812,0.1463,1.0028,1.6912,1.0581
2010-02-03,0.9379,0.1983,1.4765,0.136789,0.01168,0.08204,0.7519,0.1809,0.146,1.0033,1.6891,1.0624
2010-02-04,0.9276,0.198,1.474,0.138082,0.01206,0.08177,0.7374,0.1799,0.1444,1.0066,1.6896,1.0727
2010-02-05,0.9281,0.1964,1.4623,0.137717,0.01197,0.08122,0.7354,0.1785,0.1435,0.9975,1.6724,1.07
2010-02-06,0.9281,0.1964,1.4623,0.137717,0.01197,0.08122,0.7354,0.1785,0.1435,0.9975,1.6724,1.07
2010-02-07,0.9281,0.1964,1.4623,0.137717,0.01197,0.08122,0.7354,0.1785,0.1435,0.9975,1.6724,1.07
2010-02-08,0.929,0.1972,1.4678,0.138273,0.01203,0.08126,0.7338,0.18,0.1445,1.0018,1.6763,1.0745
2010-02-09,0.9375,0.1977,1.4716,0.13743,0.01192,0.08185,0.7428,0.1808,0.1456,1.0026,1.677,1.0679
2010-02-10,0.9306,0.196,1.4593,0.136819,0.01182,0.08109,0.7369,0.1796,0.1454,0.9951,1.6566,1.063
2010-02-11,0.9361,0.1932,1.4384,0.135295,0.01172,0.08115,0.7368,0.1784,0.1452,0.9816,1.65,1.0512
2010-02-12,0.9328,0.1924,1.4322,0.135359,0.01169,0.0813,0.7325,0.1777,0.1447,0.9768,1.6481,1.0517
2010-02-13,0.9328,0.1924,1.4322,0.135359,0.01169,0.0813,0.7325,0.1777,0.1447,0.9768,1.6481,1.0517
2010-02-14,0.9328,0.1924,1.4322,0.135359,0.01169,0.0813,0.7325,0.1777,0.1447,0.9768,1.6481,1.0517
2010-02-15,0.9325,0.1917,1.4267,0.134974,0.01166,0.0811,0.7317,0.1773,0.1448,0.9741,1.6427,1.049
2010-02-16,0.941,0.193,1.4367,0.134295,0.01157,0.08128,0.7378,0.1783,0.1453,0.9786,1.6472,1.0435
2010-02-17,0.9404,0.1911,1.4222,0.134563,0.01146,0.08109,0.7355,0.1777,0.1449,0.9696,1.6389,1.0452
2010-02-18,0.9396,0.1905,1.4176,0.134105,0.01141,0.08122,0.7353,0.176,0.1448,0.9665,1.6266,1.0414
2010-02-19,0.9347,0.1901,1.4145,0.13399,0.01136,0.08124,0.7268,0.1748,0.144,0.966,1.608,1.0405
2010-02-20,0.9347,0.1901,1.4145,0.13399,0.01136,0.08124,0.7268,0.1748,0.144,0.966,1.608,1.0405
2010-02-21,0.9347,0.1901,1.4145,0.13399,0.01136,0.08124,0.7268,0.1748,0.144,0.966,1.608,1.0405
2010-02-22,0.9383,0.1905,1.4178,0.134314,0.01144,0.08137,0.7309,0.1766,0.1446,0.969,1.6139,1.0426
2010-02-23,0.9389,0.1917,1.4265,0.136126,0.01172,0.08173,0.7302,0.1772,0.1453,0.9742,1.6279,1.0566
2010-02-24,0.9407,0.1916,1.4258,0.135718,0.01169,0.08219,0.7301,0.1771,0.1458,0.9745,1.6231,1.054
2010-02-25,0.9416,0.193,1.4362,0.136422,0.01189,0.0828,0.7323,0.1784,0.1474,0.9812,1.6176,1.0593
2010-02-26,0.9435,0.1926,1.433,0.135597,0.01185,0.08237,0.7349,0.1781,0.1476,0.9798,1.605,1.0525
2010-02-27,0.9435,0.1926,1.433,0.135597,0.01185,0.08237,0.7349,0.1781,0.1476,0.9798,1.605,1.0525
2010-02-28,0.9435,0.1926,1.433,0.135597,0.01185,0.08237,0.7349,0.1781,0.1476,0.9798,1.605,1.0525
2010-03-01,0.938,0.1898,1.4124,0.134142,0.01169,0.08171,0.7282,0.1754,0.145,0.965,1.5612,1.0416
2010-03-02,0.9364,0.1896,1.4105,0.133527,0.01168,0.08136,0.7212,0.1749,0.1444,0.9639,1.5506,1.0365
2010-03-03,0.9345,0.1899,1.4135,0.132955,0.01167,0.08124,0.7161,0.1755,0.1444,0.9665,1.5583,1.032
2010-03-04,0.9286,0.1882,1.4007,0.132756,0.01156,0.0811,0.708,0.1739,0.144,0.9575,1.5499,1.0306
